x(um),y(um),z(um)
402.679,101.708,24
447.508,75.862,25
493.442,101.961,33
539.376,75.862,26
584.266,100.917,27
629.155,73.774,26
674.045,99.873,27
717.891,73.774,26
762.781,99.873,24
357.729,183.389,20
402.618,156.246,23
449.596,181.301,29
495.53,154.159,35
538.332,178.169,44
586.353,149.983,43
632.287,170.862,65
678.221,146.851,50
721.023,177.125,44
764.869,153.115,23
810.803,179.213,20
313.883,259.597,17
357.729,235.587,21
401.575,263.773,33
448.552,234.543,40
492.398,261.685,62
541.464,231.411,65
587.397,254.378,87
637.507,224.103,87
682.397,251.246,84
722.067,229.323,51
762.781,256.466,30
811.847,231.411,22
856.736,256.466,17
268.993,338.938,14
313.883,313.883,17
351.465,342.069,38
397.399,312.839,50
438.113,338.938,77
489.266,312.839,82
533.112,338.938,106
585.31,310.751,107
636.463,339.982,107
680.309,310.751,84
719.979,341.025,57
764.869,311.795,35
811.847,337.894,25
856.736,308.663,16
901.626,334.762,14
267.949,391.135,11
314.927,417.234,13
351.465,389.047,39
398.443,419.322,48
439.157,392.179,73
489.266,423.497,84
534.156,397.399,103
584.266,427.673,103
635.419,397.399,97
684.485,421.41,79
722.067,392.179,59
766.957,418.278,37
810.803,390.091,25
857.78,414.102,12
902.67,386.959,12
314.927,470.475,8
359.817,497.618,9
403.662,469.431,21
451.684,495.53,28
492.398,473.607,58
539.376,507.013,63
586.353,484.046,88
636.463,509.101,74
684.485,476.739,68
719.979,495.53,33
766.957,469.431,23
811.847,493.442,7
856.736,466.299,7
360.86,548.771,4
405.75,574.87,5
449.596,548.771,13
497.618,574.87,12
539.376,552.947,32
588.441,578.002,23
635.419,552.947,38
680.309,573.826,21
721.023,550.859,20
766.957,572.782,5
813.934,544.596,5
406.794,627.068,1
452.728,654.21,0
497.618,627.068,3
543.552,652.122,0
588.441,626.024,3
635.419,651.078,1
680.309,626.024,4
721.023,652.122,0
765.913,626.024,1
