x(um),y(um),z(um)
359.09,99.632,25
403.662,72.731,26
450.64,98.829,25
493.442,70.643,26
540.42,95.697,26
584.266,68.555,26
630.199,94.653,26
676.133,65.423,26
719.979,91.522,25
317.015,179.213,22
359.817,152.071,24
405.75,177.125,24
451.684,149.983,25
495.53,175.038,28
541.464,147.895,27
587.397,172.95,28
632.287,146.851,26
678.221,171.906,26
722.067,144.763,24
769.045,169.818,21
275.257,259.597,17
319.102,232.455,20
362.948,258.553,23
407.838,230.367,24
453.772,256.466,24
497.618,229.323,31
543.552,252.29,33
589.485,226.191,32
635.419,252.29,31
680.309,226.191,27
724.155,250.202,23
771.133,222.015,21
817.066,248.114,19
231.411,339.981,13
276.301,311.795,16
321.19,339.981,21
361.904,312.839,25
408.882,336.85,20
453.772,310.751,22
499.706,334.762,28
546.683,306.575,28
591.573,330.586,22
635.419,305.531,24
683.441,332.674,26
725.199,305.531,24
771.133,329.542,20
816.022,300.311,18
863,325.366,15
230.367,391.135,11
277.345,416.19,12
321.19,389.047,20
363.992,416.19,21
409.926,388.003,20
456.904,413.058,24
500.75,386.959,22
546.683,410.97,15
591.573,383.827,22
636.463,408.882,26
682.397,379.652,23
726.243,407.838,16
771.133,379.652,17
818.11,405.75,12
864.044,377.564,12
277.345,470.475,7
323.278,495.53,11
365.036,467.343,17
413.058,493.442,10
458.992,466.299,15
503.882,490.31,15
548.771,464.211,15
593.661,491.354,20
639.595,463.167,21
684.485,486.134,12
728.331,460.036,11
775.308,484.046,9
819.154,457.948,9
325.366,545.639,5
370.256,571.738,4
413.058,544.596,8
460.036,571.738,8
504.925,545.639,13
551.903,568.606,7
594.705,542.508,13
640.639,568.606,11
685.529,539.376,11
730.418,565.475,4
777.396,537.288,5
370.256,627.068,1
415.146,650.034,0
460.036,623.936,2
505.969,647.947,0
551.903,621.848,2
598.881,645.859,1
641.683,619.76,8
688.661,643.771,1
732.506,617.672,2
