x(um),y(um),z(um)
333.49,93.405,7
376.52,67.511,5
423.497,93.609,7
468.387,67.511,4
514.321,92.566,3
559.211,64.379,3
604.101,90.478,4
650.034,61.247,2
695.968,85.258,2
287.784,175.038,8
335.806,147.895,9
379.652,176.081,20
427.673,147.895,16
470.475,162.51,45
520.585,132.236,32
566.519,157.29,50
613.496,136.411,28
646.903,155.202,28
697.012,138.499,3
741.902,164.598,1
247.07,254.378,8
290.916,227.235,11
332.674,261.685,33
380.696,229.323,46
424.541,249.158,79
468.387,203.224,89
514.321,226.191,111
563.387,207.4,84
612.452,235.587,83
647.947,212.62,44
700.144,237.674,27
742.946,219.927,2
788.88,243.938,0
203.224,334.762,9
248.114,307.619,13
273.169,344.157,46
328.498,317.015,62
371.3,335.806,100
419.322,300.311,111
462.124,319.102,138
515.365,286.74,128
569.65,320.146,125
621.848,288.828,108
669.869,319.102,88
707.452,293.004,47
746.078,323.278,17
789.924,296.136,2
835.857,322.234,0
203.224,385.915,10
250.202,412.014,11
279.432,378.608,42
334.762,404.706,50
377.564,379.652,85
426.629,406.794,93
467.343,380.696,123
520.585,416.19,129
570.694,382.783,130
620.804,409.926,105
662.562,378.608,72
706.408,400.531,39
747.122,375.476,20
790.968,399.487,3
836.901,372.344,0
250.202,465.255,9
296.136,489.266,11
339.982,456.904,24
386.959,488.222,39
430.805,462.124,67
479.871,493.442,71
522.673,470.475,104
575.914,503.882,96
622.892,472.563,96
658.386,486.134,50
704.32,457.948,27
747.122,477.783,5
790.968,452.728,1
299.267,540.42,9
344.157,566.518,10
385.915,539.376,24
434.981,567.562,25
478.827,542.508,46
528.936,565.475,26
575.914,539.376,49
627.068,565.475,33
660.474,544.596,34
707.452,561.299,5
749.21,531.024,1
345.201,620.804,9
390.091,645.859,9
433.937,617.672,10
480.915,642.727,8
526.848,615.584,9
571.738,640.639,7
616.628,613.496,9
662.562,638.551,6
707.452,612.452,4
